 16%|█████████████████████████▊                                                                                                                                        | 319/2000 [11:29<59:53,  2.14s/it]
Epoch 1270, Loss: 21.5148, Recon Loss: 10.5137, KLD Loss: 11.0012, Val Loss: 30.6769
Epoch 1280, Loss: 21.0219, Recon Loss: 10.2777, KLD Loss: 10.7442, Val Loss: 29.0652
Epoch 1290, Loss: 20.3275, Recon Loss: 9.4237, KLD Loss: 10.9038, Val Loss: 28.8381
Epoch 1300, Loss: 20.5699, Recon Loss: 9.8032, KLD Loss: 10.7668, Val Loss: 27.5646
Epoch 1310, Loss: 20.6293, Recon Loss: 9.6968, KLD Loss: 10.9324, Val Loss: 28.9961
Epoch 1320, Loss: 20.0986, Recon Loss: 9.3598, KLD Loss: 10.7388, Val Loss: 27.6657
Epoch 1330, Loss: 19.5200, Recon Loss: 8.5707, KLD Loss: 10.9493, Val Loss: 27.8435
Epoch 1340, Loss: 20.0105, Recon Loss: 9.2479, KLD Loss: 10.7626, Val Loss: 28.7449
Epoch 1350, Loss: 19.7079, Recon Loss: 9.0146, KLD Loss: 10.6933, Val Loss: 28.3746
Epoch 1360, Loss: 20.5804, Recon Loss: 9.7220, KLD Loss: 10.8584, Val Loss: 27.7599
Epoch 1370, Loss: 23.7718, Recon Loss: 12.3064, KLD Loss: 11.4655, Val Loss: 29.2407
Epoch 1380, Loss: 19.5855, Recon Loss: 8.8150, KLD Loss: 10.7705, Val Loss: 26.9224
Epoch 1390, Loss: 20.1119, Recon Loss: 9.1769, KLD Loss: 10.9350, Val Loss: 28.5136
Epoch 1400, Loss: 21.7653, Recon Loss: 10.5487, KLD Loss: 11.2166, Val Loss: 30.4900
Epoch 1410, Loss: 19.5309, Recon Loss: 8.7152, KLD Loss: 10.8157, Val Loss: 28.4422
Epoch 1420, Loss: 19.0273, Recon Loss: 8.2765, KLD Loss: 10.7508, Val Loss: 27.7744
Epoch 1430, Loss: 20.1459, Recon Loss: 9.2311, KLD Loss: 10.9148, Val Loss: 28.2738
Epoch 1440, Loss: 22.5927, Recon Loss: 11.3988, KLD Loss: 11.1939, Val Loss: 29.0947
Epoch 1450, Loss: 19.2237, Recon Loss: 8.5959, KLD Loss: 10.6278, Val Loss: 27.3683
Epoch 1460, Loss: 18.9234, Recon Loss: 8.4271, KLD Loss: 10.4963, Val Loss: 27.5906
Epoch 1470, Loss: 19.1551, Recon Loss: 8.5351, KLD Loss: 10.6200, Val Loss: 29.3615
Epoch 1480, Loss: 19.2036, Recon Loss: 8.5019, KLD Loss: 10.7017, Val Loss: 28.4441
Epoch 1490, Loss: 20.1708, Recon Loss: 9.3360, KLD Loss: 10.8348, Val Loss: 28.3328
Epoch 1500, Loss: 19.3906, Recon Loss: 8.8815, KLD Loss: 10.5091, Val Loss: 29.5739
Epoch 1510, Loss: 20.2203, Recon Loss: 9.6035, KLD Loss: 10.6168, Val Loss: 31.7083
Epoch 1520, Loss: 19.2269, Recon Loss: 8.8330, KLD Loss: 10.3939, Val Loss: 27.6499
Epoch 1530, Loss: 19.0748, Recon Loss: 8.3063, KLD Loss: 10.7685, Val Loss: 30.4908
Epoch 1540, Loss: 19.7988, Recon Loss: 9.0746, KLD Loss: 10.7243, Val Loss: 28.3799
Epoch 1550, Loss: 19.0717, Recon Loss: 8.5064, KLD Loss: 10.5653, Val Loss: 28.1403
Epoch 1560, Loss: 18.7150, Recon Loss: 8.0928, KLD Loss: 10.6222, Val Loss: 27.8926
Epoch 1570, Loss: 20.1949, Recon Loss: 9.5364, KLD Loss: 10.6585, Val Loss: 29.5465
Epoch 1580, Loss: 19.5302, Recon Loss: 8.7297, KLD Loss: 10.8004, Val Loss: 28.1613
Epoch 1590, Loss: 22.3659, Recon Loss: 11.5199, KLD Loss: 10.8460, Val Loss: 29.5018
Epoch 1600, Loss: 20.3015, Recon Loss: 9.5419, KLD Loss: 10.7597, Val Loss: 28.0940
Epoch 1610, Loss: 19.0751, Recon Loss: 8.4787, KLD Loss: 10.5964, Val Loss: 28.7345
Epoch 1620, Loss: 18.9701, Recon Loss: 8.3836, KLD Loss: 10.5865, Val Loss: 28.4059
