 16%|████████████████████████▊                                                                                                                                       | 310/2000 [46:01<4:08:12,  8.81s/it]
Epoch 1521, Loss: 0.8784056964673495, MSE Loss: 0.8784042314479226, KLD Loss: 1.4634508835641962e-06
Epoch 1531, Loss: 0.8787647517103898, MSE Loss: 0.8787635627545809, KLD Loss: 1.1920928955078125e-06
Epoch 1541, Loss: 0.879641990912588, MSE Loss: 0.879640729803788, KLD Loss: 1.2579717134174547e-06
Epoch 1551, Loss: 0.8788230136821145, MSE Loss: 0.8788217588474876, KLD Loss: 1.2595402567010177e-06
Epoch 1561, Loss: 0.879559554551777, MSE Loss: 0.8795582934429771, KLD Loss: 1.2658144298352693e-06
Epoch 1571, Loss: 0.8786391521755018, MSE Loss: 0.8786378189137107, KLD Loss: 1.32541907461066e-06
Epoch 1581, Loss: 0.8790491819381714, MSE Loss: 0.8790479145551983, KLD Loss: 1.2658144298352693e-06
Epoch 1591, Loss: 0.8793651053780004, MSE Loss: 0.8793637783903825, KLD Loss: 1.3316932477449115e-06
Epoch 1601, Loss: 0.8787464970036557, MSE Loss: 0.8787453394187125, KLD Loss: 1.1544478567023026e-06
Epoch 1611, Loss: 0.8790083653048465, MSE Loss: 0.8790072234053361, KLD Loss: 1.148173683568051e-06
Epoch 1621, Loss: 0.87966808833574, MSE Loss: 0.8796669683958355, KLD Loss: 1.1152342746132298e-06
Epoch 1631, Loss: 0.8786711065392745, MSE Loss: 0.8786699583655909, KLD Loss: 1.145036597000925e-06
Epoch 1641, Loss: 0.8802821667570817, MSE Loss: 0.8802811503410339, KLD Loss: 1.0164160477487665e-06
Epoch 1651, Loss: 0.8798392885609677, MSE Loss: 0.8798380807826394, KLD Loss: 1.2046412417763157e-06
Epoch 1661, Loss: 0.878811428421422, MSE Loss: 0.8788104904325384, KLD Loss: 9.395574268541838e-07
Epoch 1671, Loss: 0.879807920832383, MSE Loss: 0.879806825989171, KLD Loss: 1.0995488417776007e-06
Epoch 1681, Loss: 0.8792529357107062, MSE Loss: 0.8792519726251301, KLD Loss: 9.70928292525442e-07
Epoch 1691, Loss: 0.8796195952515853, MSE Loss: 0.879618481585854, KLD Loss: 1.1026859283447266e-06
Epoch 1701, Loss: 0.8790596880410847, MSE Loss: 0.8790586371170847, KLD Loss: 1.0493554567035875e-06
Epoch 1711, Loss: 0.8780427637853121, MSE Loss: 0.8780418257964285, KLD Loss: 9.458315999884354e-07
Epoch 1721, Loss: 0.8785994241112157, MSE Loss: 0.8785982320183202, KLD Loss: 1.1920928955078125e-06
