Physics,Sections,CFG,mse,var_diff
phys,sec20,5,tensor(36372.3633),298.8791878347765
phys,sec18plus7,4,tensor(221876.3906),320.97495072228566
nophys,sec25,4,tensor(36369.9023),212.32108004022888
nophys,secincr20,8,tensor(105799.3203),843.017809761895
nophys,sec9plus6,7,tensor(323094.6250),130.05830927392523
nophys,sec9plus6,4,tensor(265468.6875),179.84625900251257
nophys,sec25,5,tensor(112589.8281),326.877811732476
phys,sec9plus6,1,tensor(27766.3281),305.6874858030116
phys,sec9plus6,6,tensor(500227.2812),299.05826543085703
nophys,sec15,2,tensor(7433.0811),104.81006696921627
nophys,sec18plus7,2,tensor(12686.0371),152.4478863458785
nophys,secincr20,6,tensor(176272.9062),633.0225605975473
phys,sec25,5,tensor(272459.6250),395.47003184857016
phys,secincr20,8,tensor(126473.0625),584.5269802173519
nophys,secincr20,2,tensor(1526.2671),142.47333794980904
phys,sec9plus6,3,tensor(156754.9688),360.6388656211819
nophys,sec9plus6,6,tensor(298318.9688),106.49249598336598
nophys,sec15,1,tensor(164.2073),62.957206440620695
nophys,sec20,2,tensor(519.2642),98.3612258320763
nophys,sec15,3,tensor(22401.0410),162.50885852826693
nophys,sec18plus7,1,tensor(233.8172),97.46266811072418
nophys,sec18plus7,6,tensor(39974.3789),384.09553351369846
