Model Type,Noise Steps,Sections,CFG,MSE,MSE_Norm,Var_Diff
nophys,850,25,7,128205.12461242676,0.000852339616176323,79.20718539936813
phys10th,1000,25,6,139026.52454223632,0.0004850566096138209,66.30385293443685
phys10thbeam,850,18+7,7,79074.91746826172,0.00046064564448897725,66.78440410326104
phys10thbeam,850,18+7,3,31687.772650146486,5.7469432067591694e-05,56.808131345883
phys10th,1000,15,1,9887.387280273437,0.0006148604679765413,44.045720000629295
phys10thbeam,1000,9+6,6,124579.66510925294,0.0010466007613104012,22.03500399925358
phys10thbeam,700,25,1,5396.396002197265,3.5099968317808813e-05,59.47756523363539
phys10th,1000,25,1,11011.714074707032,4.112150754735922e-05,45.66907316493054
phys10thbeam,700,45,1,7145.196639251709,3.21606356465054e-05,58.061960148014194
nophys,700,25,6,301662.9497406006,0.000476788915329962,64.1834185793497
