Unnamed: 0,Model Type,Noise Steps,Sections,CFG,FID,MSE,MSE_Norm,Var_Diff
205,phys_spec_beam,850,9+6,1,120.60248419143042,11077.402767181396,3.585485887924733e-05,62.4499216362298
206,phys_spec_beam,850,9+6,3,121.37186767960355,37848.38342285156,0.0006093586283896,63.35054900722124
207,phys_spec_beam,850,9+6,5,121.73272837741985,112090.7822265625,0.0004267396786417,70.35003953333145
208,phys_spec_beam,850,9+6,6,124.98055134439916,139040.00450439454,0.000428503771036,78.85777364621798
209,phys_spec_beam,850,9+6,7,121.8632119329108,161312.8807067871,0.0004369795909951,73.15720028183003
210,phys_spec_beam,850,25,1,109.88325909319208,7789.214868164063,0.0001609111543757,56.97717080363785
211,phys_spec_beam,850,25,3,112.45284970775876,24794.052185058597,0.0006717858578667,44.779216414276114
212,phys_spec_beam,850,25,5,116.15617888515344,75178.20452728271,0.000480767116278,43.7351006560314
213,phys_spec_beam,850,25,6,115.62278720859037,90481.83686485288,0.0005323749122908,75.77572056469539
214,phys_spec_beam,850,25,7,124.49463844953866,122535.88777503966,0.0006673299361864,51.42515561658986
215,phys_spec_beam,850,18+7,1,105.37665940962664,7100.061289978027,3.523044952089549e-05,59.83766385968911
216,phys_spec_beam,850,18+7,3,116.97373622423191,31687.77265014649,5.74694320675917e-05,56.808131345883
217,phys_spec_beam,850,18+7,5,122.28878247322064,69605.47717285156,0.0005692713926691,55.97100002053999
218,phys_spec_beam,850,18+7,6,126.77649960801968,76900.15440673828,0.0004391230295368,63.26262956610403
219,phys_spec_beam,850,18+7,7,131.5100041267105,79074.91746826173,0.0004606456444889,66.78440410326104
220,phys_spec_beam,850,45,1,110.05668747932596,9039.60541381836,3.319257189104974e-05,63.58854531884138
221,phys_spec_beam,850,45,3,107.90585139790268,14306.400677490234,0.0005185245880056,63.42137935226931
222,phys_spec_beam,850,45,5,112.72507360686436,43909.95848693848,0.000547223250578,67.44690864640172
223,phys_spec_beam,850,45,6,116.24772514835632,42866.37120361328,0.0006162069777928,84.00892359459479
224,phys_spec_beam,850,45,7,121.6511731975286,43900.03046569824,0.0006985379903198,92.88141637332836
